"Gene_name" "P_values" "Adjusted_value" "is_significant"
"21" "NAV2" 1.390896e-12 8.50952373809524e-11 TRUE
"24" "AEN" 1.165516e-12 8.50952373809524e-11 TRUE
"96" "PFKFB2" 1.811263e-12 8.50952373809524e-11 TRUE
"120" "BSPRY" 1.330836e-12 8.50952373809524e-11 TRUE
"127" "PLEKHB1" 2.065902e-12 8.50952373809524e-11 TRUE
"145" "LYPD6" 8.169609e-13 8.50952373809524e-11 TRUE
"190" "HYKK" 9.760842e-13 8.50952373809524e-11 TRUE
"216" "NDUFB1" 1.977347e-12 8.50952373809524e-11 TRUE
"220" "COL4A6" 2.065902e-12 8.50952373809524e-11 TRUE
"254" "DNASE1L3" 2.460697e-12 8.50952373809524e-11 TRUE
"263" "VIM" 1.733432e-12 8.50952373809524e-11 TRUE
"278" "DAGLB" 8.540707e-13 8.50952373809524e-11 TRUE
"324" "CORIN" 2.25484e-12 8.50952373809524e-11 TRUE
"335" "TRADD" 2.254576e-12 8.50952373809524e-11 TRUE
"354" "CLDN19" 8.169609e-13 8.50952373809524e-11 TRUE
"419" "DTX2" 1.733432e-12 8.50952373809524e-11 TRUE
"446" "RPS6KB2" 1.658491e-12 8.50952373809524e-11 TRUE
"462" "EIF1B" 1.273322e-12 8.50952373809524e-11 TRUE
"472" "HSPB8" 1.115025e-12 8.50952373809524e-11 TRUE
"482" "RASSF8" 1.19836e-12 8.50952373809524e-11 TRUE
"509" "TDRD5" 1.811049e-12 8.50952373809524e-11 TRUE
"550" "SOWAHA" 1.14534e-12 8.50952373809524e-11 TRUE
"551" "CHL1" 2.460697e-12 8.50952373809524e-11 TRUE
"568" "CMTM4" 2.570428e-12 8.50952373809524e-11 TRUE
"605" "NAPEPLD" 1.114891e-12 8.50952373809524e-11 TRUE
"607" "ZFYVE9" 2.355564e-12 8.50952373809524e-11 TRUE
"706" "CORO7" 2.158345e-12 8.50952373809524e-11 TRUE
"742" "TUBA1B" 1.453614e-12 8.50952373809524e-11 TRUE
"765" "FRMD8" 8.930507e-13 8.50952373809524e-11 TRUE
"802" "DTX1" 7.813398e-13 8.50952373809524e-11 TRUE
"853" "ACADSB" 1.273322e-12 8.50952373809524e-11 TRUE
"869" "ADAMTS7" 1.892519e-12 8.50952373809524e-11 TRUE
"954" "VWA7" 8.541746e-13 8.50952373809524e-11 TRUE
"965" "SUCLG1" 2.460697e-12 8.50952373809524e-11 TRUE
"991" "SERPINA5" 9.760842e-13 8.50952373809524e-11 TRUE
"992" "C1orf222" 1.115025e-12 8.50952373809524e-11 TRUE
"1001" "AMZ1" 2.460697e-12 8.50952373809524e-11 TRUE
"1028" "RP11-366L20.2" 9.336619e-13 8.50952373809524e-11 TRUE
"1034" "NELL1" 9.760842e-13 8.50952373809524e-11 TRUE
"1051" "SCNN1A" 1.390896e-12 8.50952373809524e-11 TRUE
"1121" "MFSD6L" 1.519103e-12 8.50952373809524e-11 TRUE
"1148" "KDELC1" 1.330836e-12 8.50952373809524e-11 TRUE
"1231" "CD300A" 2.158345e-12 8.50952373809524e-11 TRUE
"1237" "EFCAB4B" 2.460697e-12 8.50952373809524e-11 TRUE
"1261" "CDO1" 1.733432e-12 8.50952373809524e-11 TRUE
"1301" "MPG" 2.254576e-12 8.50952373809524e-11 TRUE
"1386" "CASR" 9.760842e-13 8.50952373809524e-11 TRUE
"1427" "NRK" 2.570428e-12 8.50952373809524e-11 TRUE
"1434" "ANXA9" 8.541746e-13 8.50952373809524e-11 TRUE
"1444" "LIG1" 2.355564e-12 8.50952373809524e-11 TRUE
"1451" "LILRA6" 1.21825e-12 8.50952373809524e-11 TRUE
"1464" "CA10" 9.760842e-13 8.50952373809524e-11 TRUE
"1474" "FAM81A" 1.115025e-12 8.50952373809524e-11 TRUE
"1513" "TMEM52B" 2.355564e-12 8.50952373809524e-11 TRUE
"1560" "PAFAH2" 2.570428e-12 8.50952373809524e-11 TRUE
"1610" "ST8SIA4" 2.065902e-12 8.50952373809524e-11 TRUE
"1646" "PDLIM1" 2.570428e-12 8.50952373809524e-11 TRUE
"1715" "ACSL3" 1.519103e-12 8.50952373809524e-11 TRUE
"1750" "USP2" 1.519103e-12 8.50952373809524e-11 TRUE
"1892" "FECH" 1.273322e-12 8.50952373809524e-11 TRUE
"1899" "ZNF726" 1.273322e-12 8.50952373809524e-11 TRUE
"1978" "IL12RB1" 1.811263e-12 8.50952373809524e-11 TRUE
"1982" "SYNE4" 1.330836e-12 8.50952373809524e-11 TRUE
"2006" "AVPR2" 7.813398e-13 8.50952373809524e-11 TRUE
"2021" "PPP1R18" 2.570428e-12 8.50952373809524e-11 TRUE
"2028" "CCDC88B" 2.25484e-12 8.50952373809524e-11 TRUE
"2062" "PAQR5" 2.065902e-12 8.50952373809524e-11 TRUE
"2090" "KCNJ1" 9.336619e-13 8.50952373809524e-11 TRUE
"2137" "NDUFB3" 1.977347e-12 8.50952373809524e-11 TRUE
"2145" "DISC1" 1.390896e-12 8.50952373809524e-11 TRUE
"2162" "HLA-B" 1.165516e-12 8.50952373809524e-11 TRUE
"2212" "SCPEP1" 2.460697e-12 8.50952373809524e-11 TRUE
"2215" "SLC25A38" 2.06566e-12 8.50952373809524e-11 TRUE
"2276" "SND1" 8.930507e-13 8.50952373809524e-11 TRUE
"2291" "BAX" 1.390896e-12 8.50952373809524e-11 TRUE
"2360" "SYP" 8.930507e-13 8.50952373809524e-11 TRUE
"2408" "ESRRB" 1.020396e-12 8.50952373809524e-11 TRUE
"2423" "HS6ST2" 1.020396e-12 8.50952373809524e-11 TRUE
"2442" "RPP14" 2.355564e-12 8.50952373809524e-11 TRUE
"2466" "NLRC5" 1.165516e-12 8.50952373809524e-11 TRUE
"2468" "AMPH" 1.519103e-12 8.50952373809524e-11 TRUE
"2527" "CCND1" 2.460697e-12 8.50952373809524e-11 TRUE
"2543" "C6orf52" 1.115025e-12 8.50952373809524e-11 TRUE
"2597" "TMPRSS2" 1.892519e-12 8.50952373809524e-11 TRUE
"2732" "SYT7" 1.977347e-12 8.50952373809524e-11 TRUE
"2862" "FAM57A" 2.158345e-12 8.50952373809524e-11 TRUE
"2866" "LHFPL3" 2.158091e-12 8.50952373809524e-11 TRUE
"2892" "C6orf223" 2.570428e-12 8.50952373809524e-11 TRUE
"2901" "ATG5" 2.25484e-12 8.50952373809524e-11 TRUE
"2911" "KCNH3" 8.930507e-13 8.50952373809524e-11 TRUE
"2929" "GJC1" 2.355564e-12 8.50952373809524e-11 TRUE
"2937" "MED21" 1.165376e-12 8.50952373809524e-11 TRUE
"3072" "CD300LF" 2.25484e-12 8.50952373809524e-11 TRUE
"3184" "MAN1A1" 1.330677e-12 8.50952373809524e-11 TRUE
"3226" "PRR15" 1.066681e-12 8.50952373809524e-11 TRUE
"3237" "GPC3" 8.930507e-13 8.50952373809524e-11 TRUE
"3239" "MARVELD2" 2.460697e-12 8.50952373809524e-11 TRUE
"3275" "TFAM" 2.25484e-12 8.50952373809524e-11 TRUE
"3278" "INPP5J" 1.115025e-12 8.50952373809524e-11 TRUE
"3280" "FOXC1" 1.892519e-12 8.50952373809524e-11 TRUE
"3382" "EMX1" 1.390896e-12 8.50952373809524e-11 TRUE
"3411" "ACPP" 8.169609e-13 8.50952373809524e-11 TRUE
"3469" "TMEM178A" 1.977347e-12 8.50952373809524e-11 TRUE
"3559" "SEMA6D" 1.519103e-12 8.50952373809524e-11 TRUE
