"Column1","Gene_name","P_values","Adjusted_value","is_significant_p_value","Fold_Change","is_significant_Fold_Change","diffexpressed"
24,"TNFAIP8L2",9.347049e-10,1.12988969435616e-08,TRUE,-1.826019,-1,"DOWN"
25,"PFDN2",1.054678e-09,1.12988969435616e-08,TRUE,0.9640386,-1,"UP"
32,"GINS1",1.145126e-09,1.12988969435616e-08,TRUE,3.949699,1,"UP"
33,"GPX3",7.790492e-10,1.12988969435616e-08,TRUE,-3.517009,-1,"DOWN"
47,"LRP2BP",7.790492e-10,1.12988969435616e-08,TRUE,-2.857347,-1,"DOWN"
53,"ZWINT",8.278932e-10,1.12988969435616e-08,TRUE,3.067459,1,"UP"
58,"AOC3",8.278932e-10,1.12988969435616e-08,TRUE,-3.31063,-1,"DOWN"
60,"DOCK11",8.797194e-10,1.12988969435616e-08,TRUE,-1.910385,-1,"DOWN"
70,"WDR53",7.790492e-10,1.12988969435616e-08,TRUE,1.467242,-1,"UP"
74,"ZNF597",8.278932e-10,1.12988969435616e-08,TRUE,-1.508197,-1,"DOWN"
78,"PNMA2",9.347049e-10,1.12988969435616e-08,TRUE,-2.398244,-1,"DOWN"
86,"SHROOM3",1.120542e-09,1.12988969435616e-08,TRUE,-1.957382,-1,"DOWN"
87,"NUP107",9.930367e-10,1.12988969435616e-08,TRUE,0.8794766,-1,"UP"
90,"FGF11",7.790492e-10,1.12988969435616e-08,TRUE,4.257794,1,"UP"
118,"NMUR1",8.278932e-10,1.12988969435616e-08,TRUE,-3.277716,-1,"DOWN"
124,"GNAI2",7.790492e-10,1.12988969435616e-08,TRUE,-1.134595,-1,"DOWN"
125,"MNDA",7.790492e-10,1.12988969435616e-08,TRUE,-2.293706,-1,"DOWN"
127,"CLEC6A",1.120542e-09,1.12988969435616e-08,TRUE,-2.686135,-1,"DOWN"
135,"GMFG",7.790492e-10,1.12988969435616e-08,TRUE,-2.294204,-1,"DOWN"
143,"CCNA2",8.278932e-10,1.12988969435616e-08,TRUE,3.66843,1,"UP"
160,"MAD2L1",8.278932e-10,1.12988969435616e-08,TRUE,3.340053,1,"UP"
163,"TOMM70A",7.788734e-10,1.12988969435616e-08,TRUE,0.923954,-1,"UP"
180,"KIF17",8.278932e-10,1.12988969435616e-08,TRUE,-2.716467,-1,"DOWN"
218,"GNA14",7.790492e-10,1.12988969435616e-08,TRUE,-2.65268,-1,"DOWN"
219,"CCDC68",8.278932e-10,1.12988969435616e-08,TRUE,-2.254947,-1,"DOWN"
229,"FBXO45",7.790492e-10,1.12988969435616e-08,TRUE,2.225912,1,"UP"
233,"AMIGO1",1.120542e-09,1.12988969435616e-08,TRUE,-1.383685,-1,"DOWN"
239,"KCNK3",7.790492e-10,1.12988969435616e-08,TRUE,-3.9418,-1,"DOWN"
243,"FBXO38",8.797194e-10,1.12988969435616e-08,TRUE,-0.7822703,-1,"DOWN"
245,"GTF2IRD1",7.790492e-10,1.12988969435616e-08,TRUE,1.338401,-1,"UP"
264,"GKN2",7.790492e-10,1.12988969435616e-08,TRUE,-5.271194,-1,"DOWN"
270,"HDAC2",7.790492e-10,1.12988969435616e-08,TRUE,1.18272,-1,"UP"
271,"TMEM182",7.790492e-10,1.12988969435616e-08,TRUE,1.420628,-1,"UP"
282,"C17orf53",8.278932e-10,1.12988969435616e-08,TRUE,3.397922,1,"UP"
290,"BUB1B",8.278932e-10,1.12988969435616e-08,TRUE,4.037406,1,"UP"
310,"IL20RB",8.278932e-10,1.12988969435616e-08,TRUE,4.996772,1,"UP"
333,"BANK1",1.054913e-09,1.12988969435616e-08,TRUE,-2.14084,-1,"DOWN"
345,"FAM189B",7.790492e-10,1.12988969435616e-08,TRUE,1.265094,-1,"UP"
350,"DPYSL2",7.790492e-10,1.12988969435616e-08,TRUE,-2.591109,-1,"DOWN"
370,"C8orf4",8.797194e-10,1.12988969435616e-08,TRUE,-2.177165,-1,"DOWN"
381,"SELENBP1",7.790492e-10,1.12988969435616e-08,TRUE,-3.627662,-1,"DOWN"
389,"NOSTRIN",7.790492e-10,1.12988969435616e-08,TRUE,-3.640115,-1,"DOWN"
392,"RCC1",7.790492e-10,1.12988969435616e-08,TRUE,1.543709,1,"UP"
400,"ABCA6",8.797194e-10,1.12988969435616e-08,TRUE,-2.297636,-1,"DOWN"
405,"C19orf59",7.790492e-10,1.12988969435616e-08,TRUE,-4.570746,-1,"DOWN"
420,"C12orf49",7.790492e-10,1.12988969435616e-08,TRUE,-1.241991,-1,"DOWN"
430,"IRF8",8.278932e-10,1.12988969435616e-08,TRUE,-1.926577,-1,"DOWN"
433,"FANCB",8.278932e-10,1.12988969435616e-08,TRUE,2.668234,1,"UP"
434,"SPP1",7.790492e-10,1.12988969435616e-08,TRUE,3.96923,1,"UP"
436,"MKI67",8.278932e-10,1.12988969435616e-08,TRUE,3.732452,1,"UP"
437,"IRAK1",7.790492e-10,1.12988969435616e-08,TRUE,1.236855,-1,"UP"
444,"CD55",1.054913e-09,1.12988969435616e-08,TRUE,-2.170426,-1,"DOWN"
456,"TSFM",1.120542e-09,1.12988969435616e-08,TRUE,0.7880325,-1,"UP"
468,"C17orf103",9.347049e-10,1.12988969435616e-08,TRUE,-1.459992,-1,"DOWN"
472,"BMPR2",7.790492e-10,1.12988969435616e-08,TRUE,-1.348559,-1,"DOWN"
491,"ANO5",7.790492e-10,1.12988969435616e-08,TRUE,-2.346062,-1,"DOWN"
538,"TNFSF13",8.278932e-10,1.12988969435616e-08,TRUE,-2.262609,-1,"DOWN"
543,"HSDL2",9.930367e-10,1.12988969435616e-08,TRUE,-0.9679576,-1,"DOWN"
558,"PFDN4",7.790492e-10,1.12988969435616e-08,TRUE,0.9021209,-1,"UP"
559,"LPAR2",1.054913e-09,1.12988969435616e-08,TRUE,1.028594,-1,"UP"
573,"ST6GALNAC5",8.278932e-10,1.12988969435616e-08,TRUE,-2.34948,-1,"DOWN"
582,"ARHGAP29",9.347049e-10,1.12988969435616e-08,TRUE,-2.261259,-1,"DOWN"
583,"AGTR1",7.790492e-10,1.12988969435616e-08,TRUE,-3.116185,-1,"DOWN"
